ID,length,imagepath-length,width,imagepath-width,label,L-length,T-length,A-length,E-length,L-width,T-width,A-width,E-width
1111,65.297,200825_061244_0000000007_CAM2_OK.bmp,48.426,200825_061252_0000000008_CAM2_OK.bmp,M,1.123701168,0.73002565,0.123701168,0.369814883,1.148865503,0.733399559,0.148865503,0.363513227
1112,62.242,200825_061313_0000000009_CAM2_OK.bmp,47.034,200825_061319_0000000010_CAM2_OK.bmp,M,1.085840119,0.727984645,0.085840119,0.373655346,1.090229278,0.730739264,0.090229278,0.36847717
1113,64.146,200825_061327_0000000011_CAM2_OK.bmp,51.001,200825_061347_0000000012_CAM2_OK.bmp,F,1.097250989,0.781863223,0.097250989,0.278996083,1.078303485,0.784822284,0.078303485,0.27417381
1114,59.862,200825_061403_0000000013_CAM2_OK.bmp,46.202,200825_061409_0000000014_CAM2_OK.bmp,F,1.076868247,0.763285681,0.076868247,0.310125456,1.085724936,0.769817165,0.085724936,0.299009747
1115,65.219,200825_061425_0000000015_CAM2_OK.bmp,47.512,200825_061429_0000000016_CAM2_OK.bmp,F,1.091137356,0.719040276,0.091137356,0.39074268,1.103928755,0.720190899,0.103928755,0.388520741
1116,63.678,200825_061446_0000000017_CAM2_OK.bmp,47.653,200825_061450_0000000018_CAM2_OK.bmp,M,1.079292888,0.772670349,0.079292888,0.294212987,1.086420373,0.777393256,0.086420373,0.286350238
1121,61.961,200825_061551_0000000019_CAM2_OK.bmp,48.617,200825_061557_0000000020_CAM2_OK.bmp,F,1.047480616,0.77550098,0.047480616,0.289489022,1.040355562,0.778391665,0.040355562,0.284700292
1122,63.491,200825_061615_0000000021_CAM2_OK.bmp,48.001,200825_061621_0000000022_CAM2_OK.bmp,F,1.056026945,0.745826228,0.056026945,0.340794897,1.041686928,0.749751948,0.041686928,0.333774461
1123,62.565,200825_061639_0000000023_CAM2_OK.bmp,47.147,200825_061646_0000000024_CAM2_OK.bmp,F,1.121863251,0.744947957,0.121863251,0.342375653,1.116292442,0.746760683,0.116292442,0.339117101
1124,62.311,200825_061702_0000000025_CAM2_OK.bmp,47.091,200825_061706_0000000026_CAM2_OK.bmp,M,1.157595469,0.743328099,0.157595469,0.345300953,1.150447699,0.745850743,0.150447699,0.340750826
1125,66.055,200825_061722_0000000027_CAM2_OK.bmp,47.612,200825_061728_0000000028_CAM2_OK.bmp,F,1.088609491,0.708548073,0.088609491,0.411336843,1.091030818,0.711125048,0.091030818,0.40622244
1126,64.193,200825_061745_0000000029_CAM2_OK.bmp,49.14,200825_061750_0000000030_CAM2_OK.bmp,F,1.046731952,0.759915757,0.046731952,0.31593534,1.043429037,0.759405718,0.043429037,0.316819161
1131,65.467,200825_061810_0000000031_CAM2_OK.bmp,50.406,200825_061816_0000000032_CAM2_OK.bmp,M,1.085466236,0.759594074,0.085466236,0.316492631,1.080947547,0.765881362,0.080947547,0.305685254
1132,65.346,200825_061832_0000000033_CAM2_OK.bmp,49.488,200825_061836_0000000034_CAM2_OK.bmp,M,1.072012031,0.751379851,0.072012031,0.33088477,1.065251839,0.756301117,0.065251839,0.322224676
